Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,tissue,collected_by,Collection_Date,replicate,variety
SRR10343554,WGS,7568,53965206469,PRJNA557253,SAMN13111364,Plant,45567627831,JOHNS HOPKINS UNIVERSITY,public,BGV013161,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",Mature Leaf,SRX7053420,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0053,SINGLE,RANDOM,GENOMIC,Solanum lycopersicum var. cerasiforme,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-10-25T02:01:00Z,1,BGV013161,SRP216764,Leaf,,,,cerasiforme
SRR10343555,WGS,5952,51268322867,PRJNA557253,SAMN13111363,Plant,43269012552,JOHNS HOPKINS UNIVERSITY,public,BGV006852,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",Mature Leaf,SRX7053419,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0052,SINGLE,RANDOM,GENOMIC,Solanum lycopersicum var. cerasiforme,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-10-25T02:14:00Z,1,BGV006852,SRP216764,Leaf,,,,cerasiforme
SRR10343556,WGS,6569,62239504024,PRJNA557253,SAMN13111362,Plant,52837452321,JOHNS HOPKINS UNIVERSITY,public,BGV006232,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",Mature Leaf,SRX7053418,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0051,SINGLE,RANDOM,GENOMIC,Solanum lycopersicum var. cerasiforme,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-10-25T02:49:00Z,1,BGV006232,SRP216764,Leaf,,,,cerasiforme
SRR10343557,WGS,6284,89530253300,PRJNA557253,SAMN13111361,Plant,75490202882,JOHNS HOPKINS UNIVERSITY,public,PI406890,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",Mature Leaf,SRX7053417,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0050,SINGLE,RANDOM,GENOMIC,Solanum lycopersicum var. cerasiforme,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-10-25T03:38:00Z,1,PI406890,SRP216764,Leaf,,,,cerasiforme
SRR10343558,WGS,7395,109329334777,PRJNA557253,SAMN13111360,Plant,84866263799,JOHNS HOPKINS UNIVERSITY,public,PI487625,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",Mature Leaf,SRX7053416,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0049,SINGLE,RANDOM,GENOMIC,Solanum lycopersicum var. cerasiforme,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-10-25T04:12:00Z,1,PI487625,SRP216764,Leaf,,,,cerasiforme
SRR10222606,WGS,6251,81500955047,PRJNA557253,SAMN12902862,Plant,68893599682,JOHNS HOPKINS UNIVERSITY,public,LA1245,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",Mature Leaf,SRX6942211,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0020,SINGLE,RANDOM,GENOMIC,Solanum pimpinellifolium,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-10-02T21:06:00Z,1,LA1245,SRP216764,Leaf,,,,
SRR10222607,WGS,10216,86563528475,PRJNA557253,SAMN12902861,Plant,72758248807,JOHNS HOPKINS UNIVERSITY,public,LA1582,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",Mature Leaf,SRX6942210,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0019,SINGLE,RANDOM,GENOMIC,Solanum pimpinellifolium,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-10-02T22:24:00Z,1,LA1582,SRP216764,Leaf,,,,
SRR10222608,WGS,12214,52117419193,PRJNA557253,SAMN12902860,Plant,42918180265,JOHNS HOPKINS UNIVERSITY,public,LA2181,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",Mature Leaf,SRX6942209,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0018,SINGLE,RANDOM,GENOMIC,Solanum pimpinellifolium,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-10-02T21:26:00Z,1,LA2181,SRP216764,Leaf,,,,
SRR10222609,WGS,7157,49762205430,PRJNA557253,SAMN12902859,Plant,42275282579,JOHNS HOPKINS UNIVERSITY,public,BGV007152,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",Mature Leaf,SRX6942208,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0017,SINGLE,RANDOM,GENOMIC,Solanum pimpinellifolium,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-10-02T21:11:00Z,1,BGV007152,SRP216764,Leaf,,,,
SRR10230181,WGS,7601,86562857782,PRJNA557253,SAMN12911121,Plant,73459411247,JOHNS HOPKINS UNIVERSITY,public,LA1478,"sra,fastq,run.zq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",Mature Leaf,SRX6949686,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0025,SINGLE,RANDOM,GENOMIC,Solanum pimpinellifolium,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-10-03T21:24:00Z,1,LA1478,SRP216764,Leaf,,,,
SRR10230182,WGS,5907,91572770226,PRJNA557253,SAMN12911120,Plant,77814850826,JOHNS HOPKINS UNIVERSITY,public,LA1547,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",Mature Leaf,SRX6949685,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0024,SINGLE,RANDOM,GENOMIC,Solanum pimpinellifolium,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-10-03T21:36:00Z,1,LA1547,SRP216764,Leaf,,,,
SRR10230185,WGS,19156,58214583832,PRJNA557253,SAMN12911125,Plant,49470819327,JOHNS HOPKINS UNIVERSITY,public,BGV006370,"sra,run.zq,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",Mature Leaf,SRX6949682,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0030,SINGLE,RANDOM,GENOMIC,Solanum pimpinellifolium,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-10-03T21:36:00Z,1,BGV006370,SRP216764,Leaf,,,,
SRR10230187,WGS,7322,102997609317,PRJNA557253,SAMN12911123,Plant,87284851347,JOHNS HOPKINS UNIVERSITY,public,LA1279,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",Mature Leaf,SRX6949680,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0027,SINGLE,RANDOM,GENOMIC,Solanum pimpinellifolium,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-10-03T22:45:00Z,1,LA1279,SRP216764,Leaf,,,,
SRR10763451,WGS,8662,66334287957,PRJNA557253,SAMN13675828,Plant,53728123635,JOHNS HOPKINS UNIVERSITY,public,BGV007931,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",Mature Leaf,SRX7437650,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0064,SINGLE,RANDOM,GENOMIC,Solanum lycopersicum var. cerasiforme,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-12-24T15:50:00Z,1,BGV007931,SRP216764,Leaf,,,,cerasiforme
SRR10763452,WGS,8455,70163418505,PRJNA557253,SAMN13675827,Plant,56710886915,JOHNS HOPKINS UNIVERSITY,public,BGV007989,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",Mature Leaf,SRX7437649,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0063,SINGLE,RANDOM,GENOMIC,Solanum lycopersicum var. cerasiforme,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-12-25T00:57:00Z,1,BGV007989,SRP216764,Leaf,,,,cerasiforme
SRR10763453,WGS,8701,46639450753,PRJNA557253,SAMN13675826,Plant,37820642792,JOHNS HOPKINS UNIVERSITY,public,BGV008225,"fastq,sra,run.zq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",Mature Leaf,SRX7437648,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0062,SINGLE,RANDOM,GENOMIC,Solanum lycopersicum var. cerasiforme,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-12-24T16:39:00Z,1,BGV008225,SRP216764,Leaf,,,,cerasiforme
SRR10763454,WGS,9364,44375042606,PRJNA557253,SAMN13675825,Plant,36241627850,JOHNS HOPKINS UNIVERSITY,public,BGV012615,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",Mature Leaf,SRX7437647,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0061,SINGLE,RANDOM,GENOMIC,Solanum lycopersicum var. cerasiforme,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-12-24T16:03:00Z,1,BGV012615,SRP216764,Leaf,,,,cerasiforme
SRR10763455,WGS,7491,117370324807,PRJNA557253,SAMN13675824,Plant,99967140914,JOHNS HOPKINS UNIVERSITY,public,PI129033,"fastq,sra,run.zq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",Mature Leaf,SRX7437646,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0060,SINGLE,RANDOM,GENOMIC,Solanum lycopersicum var. cerasiforme,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-12-24T17:38:00Z,1,PI129033,SRP216764,Leaf,,,,cerasiforme
SRR10763456,WGS,7457,94176006631,PRJNA557253,SAMN13675823,Plant,75987417825,JOHNS HOPKINS UNIVERSITY,public,BGV008042,"run.zq,sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",Mature Leaf,SRX7437645,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0059,SINGLE,RANDOM,GENOMIC,Solanum lycopersicum var. cerasiforme,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-12-24T16:38:00Z,1,BGV008042,SRP216764,Leaf,,,,cerasiforme
SRR10763457,WGS,9330,96202504812,PRJNA557253,SAMN13675822,Plant,77787413563,JOHNS HOPKINS UNIVERSITY,public,BGV006865,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",Mature Leaf,SRX7437644,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0058,SINGLE,RANDOM,GENOMIC,Solanum lycopersicum var. cerasiforme,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-12-25T08:06:00Z,1,BGV006865,SRP216764,Leaf,,,,cerasiforme
SRR10763458,WGS,8450,83021621615,PRJNA557253,SAMN13675821,Plant,67290478034,JOHNS HOPKINS UNIVERSITY,public,BGV008108,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",Mature Leaf,SRX7437643,USA,North America,"USA: Cold Spring Harbor\, NY",PromethION,0057,SINGLE,RANDOM,GENOMIC,Solanum lycopersicum var. cerasiforme,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2019-12-24T17:00:00Z,1,BGV008108,SRP216764,Leaf,,,,cerasiforme
SRR11113511,WGS,21059,29033444546,PRJNA557253,SAMN14136833,Plant,24246417668,JOHNS HOPKINS UNIVERSITY,public,EA02054,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",Mature Leaf,SRX7750522,USA,North America,"USA: Cold Spring Harbor\, NY",MinION,0090,SINGLE,RANDOM,GENOMIC,Solanum lycopersicum,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2020-02-19T21:54:00Z,1,EA02054,SRP216764,Leaf,,,,
SRR11113513,WGS,9297,15091356473,PRJNA557253,SAMN14136832,Plant,15296419786,JOHNS HOPKINS UNIVERSITY,public,TR00003,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",Mature Leaf,SRX7750520,USA,North America,"USA: Cold Spring Harbor\, NY",GridION,0088,SINGLE,RANDOM,GENOMIC,Solanum lycopersicum,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2020-02-19T21:04:00Z,1,TR00003,SRP216764,Leaf,,,,
SRR11113508,WGS,22647,40899841583,PRJNA557253,SAMN14136835,Plant,34105268543,JOHNS HOPKINS UNIVERSITY,public,LYC2910,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",Mature Leaf,SRX7750525,USA,North America,"USA: Cold Spring Harbor\, NY",MinION,0094,SINGLE,RANDOM,GENOMIC,Solanum lycopersicum,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2020-02-19T21:25:00Z,1,LYC2910,SRP216764,Leaf,,,,
SRR11113509,WGS,6680,19685139207,PRJNA557253,SAMN14136835,Plant,19950462124,JOHNS HOPKINS UNIVERSITY,public,LYC2910,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",Mature Leaf,SRX7750524,USA,North America,"USA: Cold Spring Harbor\, NY",GridION,0093,SINGLE,RANDOM,GENOMIC,Solanum lycopersicum,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2020-02-19T22:12:00Z,1,LYC2910,SRP216764,Leaf,,,,
SRR11113510,WGS,17829,45224218984,PRJNA557253,SAMN14136834,Plant,37915223101,JOHNS HOPKINS UNIVERSITY,public,TR00019,"run.zq,sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",Mature Leaf,SRX7750523,USA,North America,"USA: Cold Spring Harbor\, NY",MinION,0092,SINGLE,RANDOM,GENOMIC,Solanum lycopersicum,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2020-02-19T22:00:00Z,1,TR00019,SRP216764,Leaf,,,,
SRR11113512,WGS,7441,27622204528,PRJNA557253,SAMN14136833,Plant,26015548617,JOHNS HOPKINS UNIVERSITY,public,EA02054,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",Mature Leaf,SRX7750521,USA,North America,"USA: Cold Spring Harbor\, NY",GridION,0089,SINGLE,RANDOM,GENOMIC,Solanum lycopersicum,OXFORD_NANOPORE,2020-05-04T00:00:00Z,2020-02-19T22:31:00Z,1,EA02054,SRP216764,Leaf,,,,
